model_id,description,tags,downloads,likes,language
Qwen/Qwen3-235B-A22B,text-generation,"transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2309.00071, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",28592,617,unknown
nari-labs/Dia-1.6B,text-to-speech,"safetensors, model_hub_mixin, pytorch_model_hub_mixin, text-to-speech, en, arxiv:2305.09636, license:apache-2.0, region:us",108113,1746,unknown
deepseek-ai/DeepSeek-Prover-V2-671B,text-generation,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, autotrain_compatible, text-generation-inference, endpoints_compatible, fp8, region:us",1712,605,unknown
Qwen/Qwen3-30B-A3B,text-generation,"transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2309.00071, base_model:Qwen/Qwen3-30B-A3B-Base, base_model:finetune:Qwen/Qwen3-30B-A3B-Base, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",39795,415,unknown
Qwen/Qwen3-32B,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",72951,257,unknown
moonshotai/Kimi-Audio-7B-Instruct,text-to-speech,"safetensors, audio, audio-language-model, speech-recognition, audio-understanding, text-to-speech, audio-generation, chat, kimi-audio, custom_code, en, zh, license:mit, region:us",3088,271,unknown
tngtech/DeepSeek-R1T-Chimera,text-generation,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, base_model:deepseek-ai/DeepSeek-R1, base_model:quantized:deepseek-ai/DeepSeek-R1, doi:10.57967/hf/5330, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, fp8, region:us",2167,210,unknown
Qwen/Qwen3-8B,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, base_model:Qwen/Qwen3-8B-Base, base_model:finetune:Qwen/Qwen3-8B-Base, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",74749,196,unknown
stepfun-ai/Step1X-Edit,image-to-image,"transformers, multimodal, image-to-image, en, arxiv:2504.17761, license:apache-2.0, endpoints_compatible, region:us",0,230,unknown
XiaomiMiMo/MiMo-7B-RL,,"safetensors, mimo, custom_code, license:mit, region:us",1921,181,unknown
